"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
46.5026207053897,2.51970518131636,0.351240724284561,7.17372732461113,7.29829052725703e-13,1.59854457418511e-08,"ANOS1"
1050.12385922178,4.8484824995891,0.671924971920439,7.21580935700541,5.36141259816754e-13,1.17452465788056e-08,"DPEP1"
41.6233596282541,2.59732321316225,0.355497140259585,7.30617189006267,2.74860521264097e-13,6.0219191603751e-09,"SLC11A1"
201.769414386122,5.04792520750402,0.533517461889216,9.46159323376039,3.03286309164736e-21,6.65137204629183e-17,"COL11A1"
79.6356277647523,3.74749349063603,0.460529068180405,8.13736580286394,4.03970762938174e-16,8.85705897741947e-12,"FAP"
464.716336243495,3.17125211630879,0.443774677765523,7.1460862351961,8.9286980695455e-13,1.95538487723046e-08,"MMP11"
345.042319292817,3.79020859010741,0.408591980644592,9.27626769406488,1.7551924884834e-20,3.84913712724409e-16,"CEMIP"
37.7618248799702,4.7571721694401,0.698929984523719,6.80636440670354,1.00095981352858e-11,2.19100093583272e-07,"WNT2"
183.389848600674,3.94423172229541,0.535031975349102,7.37195514290869,1.68143599050897e-13,3.68402625520515e-09,"SFRP4"
53.3579383211058,4.01326040064296,0.602301635072419,6.66320688330925,2.67916097508064e-11,5.86173629737892e-07,"CA9"
13434.3859697362,2.88066726393911,0.399065904612167,7.21852513744239,5.25544234919804e-13,1.15136230986231e-08,"COL1A1"
58.193935397047,2.69819784525445,0.39293352453365,6.8668048837441,6.56557708631108e-12,1.43740179150608e-07,"MDFI"
212.059920996113,-2.66240089803473,0.388532478431153,-6.85245390240008,7.25937834975717e-12,1.58915051454534e-07,"ABCG2"
189.011859456977,4.31903992609286,0.525213266591726,8.22340218882982,1.97810099151648e-16,4.33718423399903e-12,"INHBA"
83.784079848461,5.41528090401432,0.684415498346328,7.91227100657221,2.52735468122193e-15,5.54071966764284e-11,"COL10A1"
29.3215757317064,3.41247052071142,0.449211048741311,7.59658634905164,3.04044447925562e-14,6.66404620963247e-10,"TREM1"
1443.90191684507,2.51151115520456,0.340342272213628,7.37936883029365,1.59041681410574e-13,3.4849213230685e-09,"SULF1"
263.227989940523,3.33914270586665,0.491664205779328,6.79151068273077,1.10965365426827e-11,2.42869895309695e-07,"TRIM29"
655.473018344978,-4.38031653718003,0.554911058121571,-7.89372724343939,2.93292787496379e-15,6.42927119470811e-11,"BEST4"
238.987556887537,2.78610345438206,0.369494050985535,7.54032019446811,4.68818902534863e-14,1.02741662490515e-09,"COL8A1"
125.217579923405,3.87133400981691,0.423079505404228,9.15036999043022,5.67388841272767e-20,1.24422699002705e-15,"ADAM12"
173.069561187387,5.03991183862623,0.67350212169102,7.48314173973511,7.25665423790449e-14,1.59015064315201e-09,"MMP3"
142.71519769756,2.92884367478867,0.406671653579221,7.20198629290035,5.93416595882237e-13,1.29993839493963e-08,"ADAMTS12"
55.7436770289757,2.96111729646147,0.413423504687874,7.16243092829726,7.92588066224428e-13,1.73584712383812e-08,"KIF26B"
120.985150608783,4.58429823970954,0.563979069443481,8.1284900239883,4.34670888277866e-16,9.52972455460392e-12,"FOXQ1"
149.813045000052,3.43423468020962,0.434216416300248,7.90903925160431,2.59382828128669e-15,5.68619035823669e-11,"CTHRC1"
562.140331657334,-4.04346021071638,0.561633917367761,-7.19945873224159,6.04520487229714e-13,1.32420212727669e-08,"CA7"
249.314888799675,3.1070673227122,0.449824400082569,6.9072894270339,4.94001430454742e-12,1.08156673183761e-07,"CXCL8"
18.9311716254444,4.05140707558371,0.549050003121274,7.37894008296515,1.59554610543329e-13,3.49600107161488e-09,"EPHX4"
45.8568436469854,2.71975273449927,0.402774605338862,6.75254273345037,1.45276253182908e-11,3.17922552465476e-07,"MAPK15"
13.516668817804,-5.04606969776033,0.571174558944656,-8.83454912117201,1.00502792541833e-18,2.20372473206476e-14,"OTOP3"
3.88085903055171,-3.68631649165457,0.559755543120365,-6.58558282621936,4.53104413308286e-11,9.91165904111875e-07,"DHRS7C"
402.449088190241,5.16484217879812,0.577209431522542,8.94795181217759,3.62139062205731e-19,7.94098535604727e-15,"MMP1"
2.88183870763889,-3.79802728774805,0.57486086166582,-6.60686357520011,3.9254746701876e-11,8.5873683885024e-07,"RPS15AP11"
29.7092065030708,-2.51958240462395,0.329620249789233,-7.64389447018208,2.10748155859189e-14,4.61938882827756e-10,"CYP2B7P"
315.073058249579,-3.38656839733171,0.449086024068775,-7.54102380352205,4.66295983666853e-14,1.02193427780427e-09,"SPIB"
